Disadvantaged,Applicant,Project #,Description/Needs Category,Service Area Population,IUP Amount Requested,Loan Amount,Additional Subsidization Amount
D,Martinsburg,DWLSL-263-23,LSLI,300,"$                       15,000",$                                -,"$                       15,000"
D,Herculaneum,DWLSL-264-23,LSLI,"4,273","424,680$",$                                -,"424,680$"
D,Marquand,DWLSL-265-23,"LSLI, LSLRP",260,"$                     125,000",$                                -,"125,000$"
D,East Prairie,DWLSL-266-23,LSLI,"2,890","$                     200,000",$                                -,"$                    200,000"
D,Greenfield,DWLSL-267-23,LSLI,"1,340","200,000$",$                                -,"200,000$"
D,Flemington,DWLSL-268-23,LSLI,110,"$                       95,000",$                                -,"$                       95,000"
D,Huntsville,DWLSL-269-23,"LSLI, LSLRP, LSLR","1,820","67,500$",$                                -,"$                       67,500"
D,Pierce City,DWLSL-270-23,LSLI,"1,462","115,000$",$                                -,"$                    115,000"
D,Westboro,DWLSL-271-23,LSLI,112,"$                       55,000",$                                -,"$                       55,000"
D,Wayne PWSD 2,DWLSL-272-23,"LSLI, LSLRP",950,"168,365$",$                                -,"168,365$"
D,Warsaw,DWLSL-273-23,LSLI,"2,334","$                     500,000",$                                -,"500,000$"
D,Fillmore,DWLSL-274-23,LSLI,284,"$                     250,000",$                                -,"250,000$"
D,Caruthersville,DWLSL-275-23,LSLI,"5,518","$                     900,000",$                                -,"$                    900,000"
D,Hayti Heights,DWLSL-276-23,"LSLI, LSLRP",515,"$                     132,400",$                                -,"$                    132,400"
D,Sheldon,DWLSL-277-23,"LSLI, LSLR",543,"$                     130,000",$                                -,"$                    130,000"
D,Plattsburg,DWLSL-278-23,LSLI,"2,900","$                     140,000",$                                -,"$                    140,000"
D,Clark,DWLSL-279-23,LSLI,253,"$                     200,000",$                                -,"$                    200,000"
D,Farber,DWLSL-280-23,LSLI,275,"$                          5,000",$                                -,"$                         5,000"
D,Iberia,DWLSL-281-23,LSLI,703,"$                     155,000",$                                -,"$                    155,000"
D,Mound City,DWLSL-282-23,LSLI,"1,154","$                     200,000",$                                -,"$                    200,000"
D,Craig,DWLSL-283-23,LSLI,220,"$                       55,000",$                                -,"$                       55,000"
D,Grant City,DWLSL-284-23,LSLI,828,"$                       95,000",$                                -,"$                       95,000"
D,Pilot Grove,DWLSL-285-23,LSLI,667,"$                     140,000",$                                -,"$                    140,000"
D,Wyatt,DWLSL-286-23,LSLI,280,"$                     180,000",$                                -,"$                    180,000"
D,Campbell,DWLSL-287-23,LSLI,"1,768","$                     833,000",$                                -,"$                    833,000"
D,Forest City,DWLSL-288-23,LSLI,260,"$                       72,500",$                                -,"$                       72,500"
D,Lancaster,DWLSL-289-23,LSLI,700,"$200,000",$-,"$200,000"
D,Camden PWSD 1,DWLSL-290-23,"LSLI, LSLRP",750,"$250,000",$-,"$250,000"
D,Livingston PWSD 3,DWLSL-291-23,LSLI,"2,125","$175,000",$-,"$175,000"
D,Middletown,DWLSL-292-23,LSLI,167,"$250,000",$-,"$250,000"
D,Urbana,DWLSL-293-23,LSLI,387,"$100,000",$-,"$100,000"
D,Lancaster,DWLSL-289-23,LSLI,700,"$200,000",$-,"$200,000"
D,Camden PWSD 1,DWLSL-290-23,"LSLI, LSLRP",750,"$250,000",$ -,"$250,000"
D,Livingston PWSD 3,DWLSL-291-23,LSLI,"2,125","$175,000",$ -,"$175,000"
D,Middletown,DWLSL-292-23,LSLI,167,"$250,000",$ -,"$250,000"
D,Urbana,DWLSL-293-23,LSLI,387,"$100,000",$ -,"$100,000"
