Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total
19157,Albany,ALBANY (C),Albany MWFA,"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station",101082,9746301,40,829867362
19558,Albany,ALBANY (C),Albany MWFA,"Rensselaer Lake Dam Safety Improvements, Upgrade Surface Water Source",98000,8003000,40,837870362
19803,Niagara,NIAGARA FALLS WATER BOARD,Niagara Falls Water Board,"2024 Capital Improvement Project, WM Replacement, Upgrade Distribution System",48500,6560000,40,844430362
19210,Cayuga,AUBURN (C),Auburn (C),"Raw Water Transmission Main Replacement, Upgrade Transmission",43000,12300000,40,856730362
18829,Madison,ONEIDA (C),Oneida (C),"Construction of a new clear well, and rehab existing clear well, Upgrade Storage",20516,3357800,40,860088162
19776,Genesee,BATAVIA (C),Batavia (C),"Replacement of WM on Walnut St, Upgrade Distribution System",15600,4170000,40,864258162
19746,St. Lawrence,MASSENA (V),Massena (V),"Raquette River Bridge Crossing Water Main, Upgrade Distribution System",10839,1537790,40,865795952
18908,Steuben,HORNELL (C),Hornell (C),"Transmission main replacement., Upgrade Transmission",9592,2375000,40,868170952
19261,Herkimer,LITTLE FALLS (C),Little Falls (C),"Distribution system improvements, WTP improvements, Spruce Lake Dam rehab, Upgrade Other Expenses, Upgrade Water Treatment Plant, Upgrade Distribution System, Upgrade Other (OT)",4946,28428000,40,896598952
19108,Rensselaer,HOOSICK FALLS (V),Hoosick Falls (V),"Rogers Ave Tank replacement, water main replacement and LSL replacement., Upgrade Storage, Upgrade Distribution System",4500,7000000,40,903598952
19520,Cortland,HOMER (V),Homer (V),"New Water Storage Tank West of I-81, New Storage",3183,4048000,40,907646952
19143,Jefferson,CLAYTON (V),Clayton (V),"Water Main Replacement and New Raw Water Intake Line and Screen, Upgrade Distribution System",2732,8481020,40,916127972
18815,Schuyler,MONTOUR FALLS,Montour Falls (V),"Replace Aged Undersized Distribution Mains., Upgrade Distribution System",1800,4685856,40,920813828
19650,Allegany,BOLIVAR (V),Bolivar (V),"WM Replacement Throughout Village., Upgrade Distribution System",1600,4100000,40,924913828
19187,Dutchess,AMENIA WD #1,Amenia (T),"Water District No. 1 Improvements, New Ground Water Source, New Storage, New Distribution System",1010,13338500,40,938252328
19531,Allegany,ANGELICA (V),Angelica (V),"Replacement of WM and Formation of WD, Upgrade Distribution System",713,4610280,40,942862608
18858,Yates,DRESDEN (V),Dresden (V),"System wide replacement of aged mains and appurtenances, installation of new main to loop dead ends., Upgrade Distribution System",600,7984160,40,950846768
19591,Suffolk,RIVERHEAD WATER DISTRICT,Riverhead (T),"Well No. 5-2A PFAS removal, Upgrade Water Treatment Plant",190,2327800,40,953174568
19554,Albany,ALBANY (C),Albany MWFA,"Water main replacement and upgrade of associated appurtenances., Upgrade Distribution System",100000,7628722,35,960803290
19516,Ontario,CANANDAIGUA (C),Canandaigua (C),"Rehabilitation of settling basin equipment, New Other Expenses, New Other (OT)",39239,1266000,35,962069290
