Rank,Points,Project Title,Project Number,"Beneficiary
Population",PWSID,Applicant / System Name,County,"Leg.
District","Cong.
District",W/S,PFA,"Public /
Private","System
Size",Disadvantaged,PFAS/EC,LSL,"Construction
Start","Construction
End",Design Date,Milestone / Project Type,Project Description,Total Cost ($),Green Cost ($),"MDE Requested
Funding ($)"
42,60,CLEAR SPRING WATER METERS,DW0069,1100,MD0210005,JUANITA GRIMM / TOWN OF CLEAR SPRING,Washington,6,01C,Y,2,PUBLIC,Small,N,N,N,10/01/2025,06/30/2026,12/01/2024,"Construction, Design, Transmission/Distribution",PROBLEM: Town contracts out water system and meters to Washington County. PROJECT: Construct replacement of 277 water meters so town can read them via radio instead of contracting the meter reading.,"$364,266",,"$364,266"
43,60,LEAD SERVICE LINE REPLACEMENT - TOWN OF HURLOCK,DW0006,2388,MD0090005,JOHN AVERY / TOWN OF HURLOCK,Dorchester,37A,01,Y,2,PUBLIC,Small,Y,N,Y,12/01/2026,12/31/2027,04/01/2026,"Construction, Design, Transmission/Distribution","PROBLEM: Potential LCRR non-compliance of water distribution network. PROJECT: P/D/C - Replacement of approx. 180 LSL with copper, PVC, or HDPE for LCR compliance.","$1,227,600",,"$1,227,600"
44,60,MAIN SERVICE LINES REPLACEMENT - HAVRE DE GRACE,DW0034,3350,MD0120012,WANDA BOKER / CITY OF HAVRE DE GRACE,Harford,34A,1,Y,Y,PUBLIC,Large,N,N,N,05/01/2026,05/31/2027,06/01/2021,"Construction, Design, Transmission/Distribution","PROBLEM: Water lines are deteriorating causing pressure/compliance issues & contamination risk. PROJECT: P/D/C - Replacement of water mains, distribution lines, and laterals in central Havre de Grace to prevent pollution.","$3,323,750",,"$3,249,750"
45,60,LEAD SERVICE LINE REPLACEMENT - TOWN OF INDIAN HEAD,DW0004,5003,MD0080020,RYAN HICKS / TOWN OF INDIAN HEAD,Charles,28,5,Y,Y,PUBLIC,Small,N,N,Y,12/01/2026,06/30/2027,04/01/2026,"Construction, Design, Transmission/Distribution","PROBLEM: Assist a potentially non-compliant water system achieve LCRR compliance. PROJECT: P/D/C - Replace approx. 175 lead/galvanized iron lines with copper, PVC or HDPE pipes.","$1,208,500",,"$1,208,500"
46,60,EASTON UTILITIES WATER MAIN REPLACEMENTS,DW0086,21000,MD0200003,REBECCA SADUKE / EASTON UTILITIES COMMISSION,Talbot,1,37B,Y,Y,PUBLIC,Large,Y,N,N,10/01/2025,03/31/2026,01/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Multiple breaks due to deteriorated pipes; water service disruptions; pressure losses causing potential for bacteria growth. PROJECT: P/D/C - Remove & replace Judas St (750 LF 6"") cast iron & Port St (680 LF 12"") pipe w/PVC; fire hydrants; replace valves.","$1,220,200",,"$1,220,200"
47,55,VIENNA WATER TREATMENT PLANT AND WELLS REPLACEMENT PROJECT,DW0007,600,MD0090008,PAMELA TRAVERS / COMMISSIONERS OF VIENNA,Dorchester,37B,01,Y,2,PUBLIC,Small,N,N,N,01/01/2027,03/01/2028,03/01/2025,"Construction, Design, Source",PROBLEM: Old WTP w/chlorination/fluoridation issues; control systems corroding; iron exceedances; high manganese. PROJECT: D/C - New WTP near water tower w/SCADA; 2 new wells in one of four deeper aquifers.,"$3,436,598",,"$3,428,265"
48,55,TOWN OF GRANTSVILLE WELL PROJECT,DW0065,1000,MD0110005,ROBIN JONES / TOWN OF GRANTSVILLE,Garrett,6,01A,Y,2,PUBLIC,Small,Y,N,N,08/01/2025,10/31/2025,01/01/2024,"Construction, Design, Source",PROBLEM: Water supply insufficient to meet current and future needs. PROJECT: P/D/C - Repair/rehab to existing Well 6 and 7; create new Well 8 as primary water source; Well 7 to be utilized as a backup.,"$1,276,000",,"$1,276,000"
49,55,WILLARDS LCRR INVENTORY FIELD INVESTIGATION,DW0009,1218,MD0220007,MARGARET WHITE / THE TOWN OF WILLARDS,Wicomico,38C,01,Y,Y,PUBLIC,Small,Y,N,Y,02/01/2026,05/01/2026,07/01/2025,"Construction, Design, Transmission/Distribution",PROBLEM: 140 potential LSL of pre-1970 structures may require lead abatement. PROJECT: D/C - Field investigations of 140 properties to identify any lead in water system & notify users.,"$276,100",,"$276,100"
50,55,TOWN OF OAKLAND'S LEAD SERVICE LINE REPLACEMENT - PHASE 1,DW0064,1350,MD0110008,CINDY CODDINGTON / TOWN OF OAKLAND,Garrett,6,01A,Y,Y,PUBLIC,Small,Y,N,Y,01/01/2027,10/31/2028,10/01/2026,"Construction, Design, Transmission/Distribution",PROBLEM: LSL survey in Oakland has identified lead service lines and lines of unknown material. PROJECT: D/C - Replace 106 lead service lines across Oakland's town water system.,"$1,275,000",,"$1,275,000"
51,55,GREENSBORO LEAD SERVICE LINE INVESTIGATION,DW0052,2300,MD0050003,TAMMY KELLEDE / TOWN OF GREENSBORO,Caroline,36,1,Y,2,PUBLIC,Small,Y,N,Y,,,,"Construction, Transmission/Distribution",PROBLEM: Lead service line inventory for Town of Greensboro; 608 of the 755 service lines in Greensboro have an unknown status. PROJECT: Identify the material composition of the water lines that were unidentified in the initial lead service line inventory.,"$80,000",,"$75,000"
