Rank,Points,PIF #,Entity,"Owner
Type",PWS ID,Population,Project Description,"Requested
Phase(s)",Total Project Cost,"Disadv
%","Green
Type",GPR,"Related PIF
#'s"
341,10,17633,Campbell WSC,W,TX1160017,2598,"Construct New Well, Water Plant, and Ground Storage Tank.
Replace and upsize distribution system and transmission piping",PADC,13194000,,,,
342,10,17892,Woden WSC,W,TX1740020,2823,"6-inch Water Main Connecting portions of the Distribution System, Water Tank Rehab, New Pump Building, Replace Office/File Building",PADC,2260000,,,,
343,10,17335,South Newton WSC,W,TX1760022,3729,"Rehabilitate and repair (3) existing elevated water tanks that are
under enforcement action from TCEQ",PDC,2633858,,,,
344,10,17253,Bowie,M,TX1690001,5534,Expansion of the existing raw water pump station.,PDC,1102400,,,,
345,10,17367,Bacliff MUD,D,TX0840011,8778,"Bacliff MUD's proposed project consists of drilling a new water well to
provide water during emergency conditions",PDC,1192298.4,,,,
346,9,17725,Benton City WSC,W,TX1630034,32400,"Construction of a New Ground Storage Tank and Water Well and
Asset Management Plan",PADC,3000000,,,,
347,9,17779,Benton City WSC,W,TX1630034,32400,"New Water Well Supply, Treatment, Ground Storage Tank and
Booster Pump Station & Asset Management Plan",PDC,5200000,,,,
348,9,17405,Terrell,M,TX1290006,20336,"This project includes several elements to rehabilitate the water distribution system and reduce main break frequency in
disadvantaged areas within the City of Terrel",DC,14550000,,Yes-BC,14550000,
349,8,17593,Morgan Mill WSC,W,TX0720012,500,"The project includes the installation of a new well and pump station and supply line to improve the systems ability to maintain adequate
supply.",PADC,1500000,,,1600000,
350,8,17468,"Texas Water Utilities, L.P.",P,TX0270078,126,"This project is needed to maintain reliable water supply for the affected population in the Quail Creek Groundwater Supply by drilling two new wells. This project will also help address the ongoing disinfection byproducts compliance issue and will include an asset
management plan.",PADC,3347000,,Yes-BC,3347000,
351,7,17280,Fredericksburg,M,TX0860001,11257,"The City has a history of low pressures observed in the system. The City proposes a new groundwater well, ground storage tank, pump station expansion, and new transmission line in an effort to increase the minimum pressures observed in the system. This project is consistent with the state water plan to increase water supply.",PADC,29394683,,,,
352,7,17748,Benton City WSC,W,TX1630034,32400,"The Project proposes to construct a new Ground Storage Tank,
Elevated Tank, Pump Station, and Transmission Main and Develop an Asset Management Plan",PDC,11610000,,,,
353,6,17378,Parker County SUD,D,TX1840025,475,"Rehabilitation and restoration of existing infrastructure within the
Greenwood groundwater system",PDC,3093200,,Yes-BC,898700,
354,6,17276,Flat WSC,W,TX0500016,771,"Flat WSC proposes to replace approximately 14,453 linear feet of aging, leak-prone 4-inch distribution mains with new fused HDPE waterline in targeted areas of the system experiencing repeated leaks and failures. The project will reduce system water loss and non-revenue water, improve distribution system reliability, and enhance
long-term operational efficiency",PDC,1623032.19,,,,
355,6,17307,Big Lake,M,TX1920001,2965,"Replacement of various portions of the City's potable water distribution pipelines and valves that have reached the end of their service life and require replacement. An asset management plan will
also be prepared.",PDC,20680000,,,,
356,6,17316,Hondo,M,TX1630002,11044,"The City proposes priority water system improvements identified through engineering analysis and capital planning to correct regulator deficiencies, address localized storage and production capacity limitations within the Prison Pressure Plane (PPP), and improve overall distribution system reliability. The PPP is currently operating at or near TCEQ minimum storage requirements and lacks sufficient redundancy to maintain reliable service during peak demand or emergency conditions. The project includes construction of additional ground storage, pump station improvements, replacement of an existing well pump, installation of major transmission mains, and targeted distribution system looping and pipeline upgrades.
Distribution improvements will eliminate dead-end mains, improve circulation, reduce water age, enhance fire flow capability, and
strengthen pressure stability.",PDC,7645010,,,,
357,6,17569,Snyder,M,TX2080001,11104,"The City of Snyder (City) desires to enhance their water distribution
system by upgrading the existing residential metering system and preparing an asset management plan.",PDC,7466000,,Yes-CE,7466000,
358,6,17770,Walker Co SUD,D,TX2360069,2842,Replace the existing Falba and Pierce wells at the current sites,PDC,6275000,,,,
359,6,17605,Bynum,M,TX1090048,276,"Replace existing 65,000-gallon water storage tank and piping on site which is also in poor condition. It is also recommended for AMI/AMR
meters to be installed to help with water loss.",PDC,499000,,Yes-CE,100000,
360,6,17416,Colorado Co WCID # 2,D,TX0450014,979,"Colorado County WCID #2 proposes to install a 50,000 gallon ground storage tank and associated service pumps and refurbish an existing 50,000 gallon elevated storage tower. To also include an existing water well to provide more connection capacity and redundancy in
their aging public water supply system",DC,750000,,Yes-BC,30000,
361,6,17721,Austin,M,TX2270001,1153430,"A pilot Aquifer Storage & Recovery (ASR) project will inform planning and design of a full-scale ASR facility to meet possible shortages
associated with drought and climate change.",PDC,28690000,,,,
362,6,17722,Austin,M,TX2270001,1153430,"Ullrich WTP On-site Generation of Chlorine and Ammonium Sulfate
Conversion",PDC,74559230,,,,
363,5,17408,Paradise,M,TX2490010,627,"Construct new, (City's first), water pumping station and storage
facility, and new water well",PADC,5171000,,,,
364,5,17664,San Leanna,M,TX2270017,748,"The project proposed to improve water measurement and reduce loss by replacing meters, meter boxes, and related components with AMR/AMI technology. The number of replacements will depend on available funding, and an asset management plan will be developed.",PDC,1170000,,Yes-CE,1170000,
365,5,17582,Sterling City,M,TX2160001,888,"The City of Sterling City aims to replace 50,000 LF of asbestos cement pipes, repair an existing HSPS, rehabilitate its existing groun storage tanks, replace failing service meters with AMI meters, and
implement an asset management plan.",PDC,21294000,,Yes-BC,21294000,
366,5,17326,Glen Rose,M,TX2130001,2848,"Glen Rose has experienced significant water loss in certain areas of its water distribution system. One of the proposed projects is intended to reduce these losses by replacing existing water lines that have been identified as contributing to elevated loss percentages. The scope includes the replacement of three water lines, consisting of one asbestos-cement line and two steel lines. In addition, the project includes the replacement of existing ground storage tanks at Well Sites 2 and 6, as well as the replacement of existing standpipes at Well Sites 3 and 4. These improvements will address aging infrastructure, enhance system reliability and pressure maintenance, improve water quality, and ensure compliance with current regulatory
and operational standards",PDC,5488000,,Yes-BC,707000,
367,5,17495,Seminole,M,TX0830012,7386,"The proposed project will add additional storage to the treatment system, as well as develop additional ground water sources for the City. The project will also feature improvements and rehabilitation of existing pump stations within the distribution system. Additionally, the City desires to increase treatment capacity to include 2 mgd worth of
R.O. Treatment. An asset management plan will also be completed.",PADC,25488000,,,,
368,5,17580,McCoy WSC,W,TX0070023,9798,"The McCoy WSC is experiencing growth in customers and will address this growth by adding an additional well. Additionally they will be replacing meters that are old and inaccurate to address water loss. The WSC is also ensure safety and health by addressing the
lead and copper rule.",PADC,12645000,,,,
369,5,17419,Haltom City,M,TX2200014,45777,"The project intends to replace existing distribution system pipes that
are leaking and resulting in water loss",DC,16308700,,Yes-BC,10057600,
370,5,17311,Jayton,M,TX1320001,458,"The City of Jayton proposes to replace all existing customer water meters with a new Advanced Metering Infrastructure (AMI) system. The project includes installation of AMI-compatible meters, metering infrastructure, and replacement of all meter boxes and related appurtenances to improve system accuracy, efficiency, and water
accountability",PDC,625000,,Yes-CE,506300,
371,5,17611,Pleasant Grove WSC,W,TX0810015,1399,"We plan on constructing 28,776 LF of 4"" PVC waterlines, replacing a 1,500-gallon hydropneumatic tank with a 5,000-gallon
hydropneumatic tank, and constructing a 100 gpm water well",PDC,4382105,,,,
372,5,17304,Acton MUD,D,TX1110007,20458,"AMUD is proposing water system improvements to address growth in the distribution system which includes upgrading a main arterial distribution main in the system to areas which are currently limited by the size of main. Several areas also require the extension of main lines to provide additional pressure in areas where future
developments are anticipated",PDC,9810000,,,,
373,4,17256,Castroville,M,TX1630033,150,"Replacement of a 6,000-gallon ground storage tank with a 50,000-
gallon ground storage tank, and an asset management plan",PDC,1026000,,,,
374,4,17780,East Medina Co SUD,D,TX1630030,1365,"Construction of pipeline and interconnection of East Medina County
SUD Unit 3 PWS with East Medina County SUD Unit 1 PWS",PADC,2790000,,,,
375,4,17298,Eldorado,M,TX2070001,1574,"Repair and re-coat 50,000 gallon elevated storage tank to meet
current TCEQ standards; leak detection survey; GIS of water system and asset management plan.",PC,493500,,,,
376,4,17359,Mountain WSC,W,TX0500020,2108,"Mountain WSC's proposed project would replace aging waterline along Cedar Ridge Road, addressing leaks to mitigate water loss. This proposed project also includes the creation of an Asset
Management Plan.",PADC,494942.92,,,,
377,4,17777,East Medina Co SUD,D,TX1630020,2505,"Construction of pipeline and interconnection of East Medina County
SUD Unit 2 PWS with East Medina County SUD Unit 1 PWS",PADC,5613000,,,,
378,4,17255,Castroville,M,TX1630005,3913,"Replacement of approximately 26,800 LF of asbestos cement water
main",PDC,19720000,,,,
379,4,17786,East Medina Co SUD,D,TX1630010,6153,"Construction of pipeline and interconnection of East Medina County
SUD Unit 1 PWS with East Medina County SUD Unit 2 PWS",PADC,5720000,,,,
380,4,17314,Josephine,M,TX0430036,6960,"Propose a new 0.5MG Elevated Storage Tank (EST) and perform
water system modeling",PADC,8232000,,,,
381,4,17781,Benton City WSC,W,TX1630034,32400,"To Replace all Existing Customer's Service Meters with an Advanced
Metering Infrastructure (AMI) type of Meter and the Development of an Asset Management Plan",PDC,9005000,,Yes-CE,4000000,
382,4,17357,Mountain WSC,W,TX0500020,2108,"Mountain WSC's proposed project would replace undersized 1.5"" water lines along Old Osage Road to meet system goals. The intentions for this proposed project include meeting system demands, decreasing water loss and maintenance costs, as well as meeting
TCEQ recommendations.",ADC,495373.6,,,,
383,4,17358,Mountain WSC,W,TX0500020,2108,"Mountain WSC's proposed project would replace undersized lines including 1"", 1.5"", and 2"" inch waterlines throughout the system to
meet TCEQ recommendations.",DC,488373.6,,,,
384,4,17273,Elm Creek WSC,W,TX1550026,5262,"Short Description: Elm Creek WSC's proposed project would focus on replacing portions of waterlines causing strain and water loss on the system. This proposed project includes waterline replacements
on Munz Road and Tower Drive.",ADC,1694826.9,,,,
385,4,17241,Alpine,M,TX0220001,6000,"The City of Alpine, in an effort to increase efficiency, improve operations and conserve water, would contract for smart meters and
an advanced metering infrastructure (AMI) system.",PDC,3678000,,,,
386,4,17370,Parker County SUD,D,TX1840079,6000,"PCSUD will upsize the existing 6-inch FM 1189 line and I-20 bore to a 12-inch line and shift the alignment to Wolf Hollow Road. The new lin and bore will be routed west of the existing crossing and tie into the
Jack Wright Pump Station to support area growth.",PADC,10720890,,Yes-BC,10720890,
387,4,17371,Parker County SUD,D,TX1840079,6300,"PCSUD plans to upsize the FM 113 and W. I-20 lines to increase
capacity.",PADC,6139450,,Yes-BC,6139450,
388,4,17372,Parker County SUD,D,TX1840079,6300,"PCSUD plans to upsize the existing 6-inch water line from the Jack Wright Pump Station to Poe Prairie Road to an 8-inch line. The project also includes replacing the existing bore east of FM 1189 that crosses the Brazos River. The new river crossing will consist of an 8-
inch water line installed within a 24-inch bore",PADC,4796971,,Yes-BC,4796971,
389,4,17603,Parker County SUD,D,TX1840079,6300,"PCSUD plans to upsize the FM 1189 and Cougar Road lines to increase capacity between the Sugar Tree and Dennis Pump
Stations.",PADC,7032509,,Yes-BC,7032509,
390,3,17744,Montgomery Co FWSD # 6,D,TX1700142,408,"FWSD#6's water plant is in need of pressure tank replacement,
ground storage tank repairs, new water well, and replacement of old water lines within the distribution system",PDC,1075000,,,,
391,3,17686,Sheridan WSC,W,TX0450016,1164,"Pressure Storage Facilities Upgrades and Distribution System Upgrades to Facilitate the Development of a Open Interconnection
with Lake Sheridan Estates",DC,4000000,,Yes-BC,12000,
392,3,17510,Walker Co SUD,D,TX2360069,8808,"Project allows for the replacement of nearly 59,000 linear feet of waterline which has been the source of significant water loss. Project also include the replacement of an existing ground storage tank and the development of an asset management plan for the District.",PDC,7745000,,,,
393,3,17823,Orange,M,TX1810004,22205,Design and construction of 500k Gallon Elevated Water Storage tank,PDC,10068520,,,,
394,3,17289,Graford,M,TX1820003,736,"Replace antiquated and deteriorated waterlines to improve water conservation. Improve water storage quality with upgraded chemical treatment equipment at pump station. Ensure water supply continuity with a new ground storage tank at pump station and rehab for the
elevated storage tank in town",PDC,1301500,,,,
395,3,17296,Hico,M,TX0970002,1379,"The project includes installing two new wells, a new ground storage
tank, upgrading the high service pump station, rehabbing the elevate tank, and replacing old cast iron water lines",PDC,5000000,,Yes-BC,2885000,
396,3,17443,Grandview,M,TX1260004,2004,"To reduce water loss and increase water conservation by replacing
old, deteriorated waterlines and secure water availability with new ground storage tank.",PDC,2500000,,,,
397,3,17444,Grandview,M,TX1260004,2004,"This project consists of drilling two new water wells and installing a new back up generator at the elevated storage tank site to ensure adequate supply of public drinking water for the residents of
Grandview.",PADC,4560000,,,,
398,3,17258,Chico,M,TX2490004,2127,"Install new ground storage tank and transfer station to move water between pressure planes in order to meet the TCEQ 0.6 gpm per
connection rule",PADC,1625000,,,2055000,
399,3,17614,Hamlin,M,TX1270002,2164,"The City of Hamlin aims to enhance their water distribution system by improving its existing distribution lines, valves, and hydrants. The distribution lines are aging, dilapidated, and need to be replaced.
Additionally, the City is addressing additional water loss issues and water use efficiency by replacing all aging mechanical meters on the distribution system with AMI meters. An asset management plan and
water conservation plan is included",PDC,25687000,,Yes-BC,13994000,
400,3,17295,Martin Springs WSC,W,TX1120015,4095,New Elevated Storage Tank and Waterline Replacements,PADC,5575000,,,,
401,3,17442,Elm Creek WSC,W,TX1550026,5262,"Elm Creek WSC's proposed project includes rehabilitation of a
current groundwater well including pump replacement",PDC,626125,,,,
402,3,17373,Parker County SUD,D,TX1840079,6000,"The project includes constructing an additional clearwell to store
MF/RO-treated water. The existing clearwell will also be replaced due to significant corrosion and structural deterioration",PDC,5563800,,,,
403,3,17376,Parker County SUD,D,TX1840079,6000,"This project replaces the existing intake with a new raw water intake
and pump station.",PADC,13822450,,,,
404,3,17260,Coryell City WSD,D,TX0500013,6105,"Coryell City WSD's proposed project includes the replacement of a
transmission line near their largest plant",PAC,2156874,,,,
405,3,17618,Coryell City WSD,D,TX0500013,6105,"Coryell City WSD's proposed project includes replacement of a
transmission line near the system's Riddle Plant",PADC,3079592.2,,,,
406,3,17395,River Oaks,M,TX2200069,7556,"The City of River Oak's proposed project consists of replacing the
raw water pump, and installation of a variable frequency drive",PDC,656250,,,,
407,3,17245,Anna,M,TX0430027,35000,"24"" Collin County Outer Loop Water Line",PADC,12850000,,,,
408,3,17517,Austin,M,TX2270001,1153430,"The proposed South IH-35 Reservoir is planned as a 3-million-gallon
elevated reservoir 100'-150' in height and will include foundational piping for a future pump station",C,45611000,,,,
409,3,17714,Austin,M,TX2270001,1153430,"Replace Center Street Pump Station with a new, electrically upgrade
facility providing a firm pumping capacity of 46 MGD",PDC,69035360,,,,
410,3,17720,Austin,M,TX2270001,1153430,"A new 2-million-gallon elevated reservoir and transmission main for
the Southwest B Pressure Zone",PDC,31865000,,,,
411,2,17407,Springs Hill SUD,W,TX0940022,35472,"The Project consists of the construction of a new 0.5 MG concrete ground storage tank, designed in accordance with the provided drawings and specifications. It also includes an 8-foot-tall masonry wall around the perimeter. It includes site preparation with erosion an
sediment control measures.",C,3750000,,,,
412,1,17272,Elm Creek WSC,W,TX1550026,5262,"Elm Creek WSC's proposed project consists of constructing a new
500,000-gallon composite elevated storage tank",ADC,6167500,,,,
413,1,17274,Elm Creek WSC,W,TX1550026,5262,"Elm Creek WSC's proposed project would install three emergency generators, one at each of their plants. This project would ensure that there is adequate backup power to supply their consumers with water
to the appropriate pressure during a power outage",ADC,653002.45,,,,
414,1,17807,Hurst,M,TX2200054,38500,CIP replacement program,DC,21700000,,,,
415,1,17451,Everman,M,TX2200010,6347,"Construction of approximately 6,100 linear feet of 12'' diameter water supply transmission main from Oak Grove Road to the Police
Department site ground storage tank.",PDC,2938089,,,,
416,0,17404,Carbon,M,TX0670015,285,"The project includes the installation of AMR meters and meter
reading system.",PDC,400000,,Yes-CE,266450,
417,0,17790,Woodloch,M,TX1700112,747,"Rehabilitate the Town of Woodloch's primary water supply well to restore production capacity lost due to suspected damage or leakage in the down-hole column pipe. The project will address declining well output, ensure adequate system pressure, and maintain reliable
potable water service for the community",PDC,2000000,,,650000,
418,0,17244,Amherst,M,TX1400006,902,"This project includes construction of a new 200,000-gallon ground storage tank along with rehabilitating the city's existing 200,000-gallon ground storage tank. Additionally, the City will replace a deteriorated section of water distribution line along Main Street from Bulldog Road to Highway 84, reconnecting existing fire hydrants, service
connections, and all related appurtenances.",PDC,2000000,,,,
419,0,17891,Pinehurst Decker Prairie WSC,W,TX1700507,1000,"Major upgrade of existing water plant due to aging and failing equipment (originally installed 1983), response to new highway construction requirements for MCTRA and new housing development
in the area.",C,842635,,,,
420,0,17337,Alto,M,TX0370001,1225,"Rehabilitate existing water plant components and replace existing
waterlines including new water meters.",PDC,4859000,,,,
421,0,17513,Hardin Co WCID # 1,D,TX1000016,1290,"This project will replace all existing residential water meters with more efficient
electronic auto-read meters.",PDC,425000,,Yes-CE,180000,
422,0,17472,Holiday Beach WSC,W,TX0040015,1604,Replace existing water distribution lines.,PDC,3800000,,,,
423,0,17386,Bayview MUD,D,TX0840010,1850,"Bayview MUD's proposed project includes rehabilitation of an elevated storage tank that provides system pressure and storage vita
to meeting system demands.",DC,452175,,,,
424,0,17349,McLennan Co WCID # 2,D,TX1550002,2370,"New elevated storage tank, service pump replacement, cooling tower
replacement, and rehabilitation of ground storage tanks",DC,4809500,,,,
425,0,17621,Coryell City WSD,D,TX0500013,6105,"Coryell City WSD's proposed project includes improvements to the
Riddle booster station.",PADC,2346330,,,,
426,0,17390,River Oaks,M,TX2200069,7556,"The City of River Oaks' proposed project includes the replacement of
the clearwell roof.",PDC,1865250,,,,
427,0,17392,River Oaks,M,TX2200069,7556,"The City of River Oaks' proposed project consists of rehabilitation of
the clearwell interior.",PDC,1040750,,,,
428,0,17394,River Oaks,M,TX2200069,7556,"the City of River Oak's proposed project includes the reconstruction
of the access road to the water treatment plant.",PDC,1219000,,,,
429,0,17279,Fort Stockton,M,TX1860001,8142,"The project will provide additional storage for the City through a new water storage tank, which will help provide more consistent pressures to existing and potential customers on the east side of the City. A large diameter water main will complete a needed large diameter loop to provide capacity and redundancy to the east part of the City.",PDC,6250000,,,,
430,0,17246,Anna,M,TX0430027,35000,West 3.0 MG EST,PADC,21000000,,,,
431,0,17247,Anna,M,TX0430027,35000,Grayson Pump Station,PADC,22900000,,,,
