"Self1Score",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,"Federal2Equivalency"
82,"CASSVILLE, VILLAGE OF",5469-06,Replace WM on Amelia St/ STH 133,"$5,500,000.00",SC,Zettl,
82,"SOUTH WAYNE, VILLAGE OF",5435-09,Replace WM on Prospect/High/Division,"$2,156,000.00",SC,Zettl,
82,"MINERAL POINT, CITY OF",5446-16,Replace WM on STH 23/29,"$1,230,000.00",SC,Zettl,
81,"ALTOONA, CITY OF",5209-09,Water System Consolidation: Concept 2,"$3,800,000.00",WC,Jaromin,
80,"RIPON, CITY OF",5289-09,Replace WM on Pacific St,"$320,000.00",NE,Hannes,
80,"MELLEN, CITY OF",5444-06,Replace WMs System-Wide,"$2,400,000.00",NO,Andruczyk,
79,"COON VALLEY, VILLAGE OF",5503-04,Replace WMs on STH 14/61,"$179,000.00",WC,Jaromin,
78,"MILLTOWN, VILLAGE OF",5673-01,Replace Elevated Tank,"$2,000,000.00",NO,Andruczyk,
78,STITZER SD,5497-03,"Replace WMs on CTH E, Creamery St, & Commercial St","$790,000.00",SC,Zettl,
76,"WISCONSIN DELLS, CITY OF",4996-03,Construct Elevated Water Reservoir,"$4,025,000.00",SC,Zettl,
76,"TURTLE LAKE, VILLAGE OF",5164-14,"Replace undersized WMs, loop dead ends","$4,400,000.00",NO,Andruczyk,
76,"ASHLAND, CITY OF",4759-35,Replace WM on 11th St East,"$1,000,000.00",NO,Andruczyk,
76,"RIPON, CITY OF",5289-07,Replace WM on Houston Street,"$300,000.00",NE,Hannes,
75,"LA FARGE, VILLAGE OF",4827-08,"Replace WM on Penn, Highland, Cherry, Oak, Pine","$1,500,000.00",WC,Jaromin,
74,"JEFFERSON, CITY OF",5463-08,Construct New Well #6,"$2,700,000.00",SC,Zettl,
74,"CASSVILLE, VILLAGE OF",5469-08,Replace WM Bluff St,"$1,296,000.00",SC,Zettl,
74,"CASSVILLE, VILLAGE OF",5469-07,Replace WM Du Chien St,"$150,000.00",SC,Zettl,
74,"DICKEYVILLE, VILLAGE OF",4794-10,Replace WM on N Church St,"$650,000.00",SC,Zettl,
74,"WESTBY, CITY OF",5440-11,Replace WM on Prairie/Oak/West/Melby/Park/Central,"$2,500,000.00",WC,Jaromin,
74,"BAGLEY, VILLAGE OF",5058-03,"Replace WM on Walnut, Chicago Streets","$935,000.00",SC,Zettl,
74,"MINERAL POINT, CITY OF",5446-15,Replace WMs on Doty and Iowa,"$1,858,000.00",SC,Zettl,
74,"SHULLSBURG, CITY OF",5493-08,Replace WMs on Henry/S Lafayette/Ringold,"$1,663,320.00",SC,Zettl,
73,"CALEDONIA, VILLAGE OF",5390-17,Replace WM Harbor View,"$3,700,000.00",SE,Binder,Yes
72,"CLYMAN, VILLAGE OF",5609-06,Install System-Wide SCADA,"$420,000.00",SC,Zettl,
72,"CLYMAN, VILLAGE OF",5909-02,Rehabilitate Water Tank,"$595,000.00",SC,Zettl,
72,"CLYMAN, VILLAGE OF",5609-04,Rehabilitate Well #2,"$50,000.00",SC,Zettl,
72,"CLYMAN, VILLAGE OF",5609-03,Rehabilitate Well #3,"$205,000.00",SC,Zettl,
72,"CLYMAN, VILLAGE OF",5609-05,Rehabilitate Well #4,"$100,000.00",SC,Zettl,
72,"COON VALLEY, VILLAGE OF",5503-03,"Replace WMs on Central, Church, Anderson, Babcock, Roosevelt","$785,000.00",WC,Jaromin,
70,"DARLINGTON, CITY OF",5387-09,"Rehab Well #2, add Emergency Power","$3,700,000.00",SC,Zettl,
70,"DARLINGTON, CITY OF",5387-10,"Rehab Well #2, add Emergency Power","$3,700,000.00",SC,Zettl,
70,"MINERAL POINT, CITY OF",5446-12,Replace WMs on Commerce and South Streets,"$1,700,000.00",SC,Zettl,
70,"MUSCODA, VILLAGE OF",5159-07,Replace WMs on Iowa and Elm,"$2,310,000.00",SC,Zettl,
69,"RHINELANDER, CITY OF",5288-13,"Replace WMs along Lincoln St, Shepard St, Carr St, and Newell St","$3,085,000.00",NO,Andruczyk,
