"SELFScore",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME
334,"LA CROSSE, CITY OF1",5406-08,Replace Well #26,"$6,000,000.00",WC,Cameron
334,"LA CROSSE, CITY OF1",5406-03,Treatment at Well #23,"$15,000,000.00",WC,Cameron
334,"LA CROSSE, CITY OF1",5406-04,Treatment at Well #24,"$15,000,000.00",WC,Cameron
334,"LA CROSSE, CITY OF1",5406-05,Treatment at Well #26,"$15,000,000.00",WC,Cameron
331,"ARLINGTON, VILLAGE OF",4758-09,"Construct New Well #4 & Connecting Main, Abandon Well #2","$2,000,000.00",SC,Zettl
321,"PORT WASHINGTON, CITY OF1",4883-03,Upgrade Water Treatment Plant,"$15,341,750.00",SE,Fuja
213,"WINNECONNE, VILLAGE OF",4939-03,"Treatment at Well 1, Upgrade Pumping Facilities","$6,500,000.00",NE,Hannes
213,"WINNECONNE, VILLAGE OF",4939-04,"Treatment at Well 2, Upgrade Pumping Facilities","$6,500,000.00",NE,Hannes
202,"MONROE, CITY OF1",4852-19,Replace WMs on 20th St and 14th Ave,"$600,000.00",SC,Zettl
198,"MONROE, CITY OF1",4852-20,"Replace WMs on 14th St, 20th St, and 15th Ave","$950,000.00",SC,Zettl
189,"MAYVILLE, CITY OF",5443-09,Replace Existing Water Treatment System/SCADA,"$2,100,000.00",SC,Zettl
171,"NEW HOLSTEIN, CITY OF",5366-06,Replace Private LSLs (2023),"$1,890,000.00",NE,Hannes
171,"NEW HOLSTEIN, CITY OF",5366-07,Replace Public LSLs (2023),"$1,890,000.00",NE,Hannes
166,"DENMARK, VILLAGE OF",5550-05,Connect to CBCWA for water supply,"$1,500,000.00",NE,Hannes
163,"MUSCODA, VILLAGE OF",5159-05,Abandon/Replace Elevated Water Tower,"$2,100,000.00",SC,Zettl
162,"ASHLAND, CITY OF",4759-22,"Replace Watermain on STH 13, between 2nd and 11th Street","$1,215,000.00",NO,Andruczyk
159,"VIOLA, VILLAGE OF",5316-06,"Replace WM with Looping&LSLs on Mt. Nebo,Wisconsin,York,Park","$1,250,000.00",SC,Zettl
152,"AVOCA, VILLAGE OF",4761-04,"Construct Well/House 3, Piping, Chem Addition, Standby Power","$800,000.00",SC,Zettl
151,"VIOLA, VILLAGE OF",5316-07,"Create new Well #5, abandon well #3","$800,000.00",SC,Zettl
150,"MONTREAL, CITY OF",5621-01,"Replace WMs along McCrossen, Ontario, Minnesota, & Bessemer","$1,750,000.00",NO,Andruczyk
149,"ARLINGTON, VILLAGE OF",4758-08,Construct Connecting Main from Well #3 to Treatment Facility,"$500,000.00",SC,Zettl
147,SEXTONVILLE SD,4898-02,"Construct Well, Transmission Main & Generator","$750,000.00",SC,Zettl
144,"GRANTON, VILLAGE OF",5051-06,Replace WMs on Main St & Paulson Ave,"$1,300,000.00",WC,Cameron
143,"TWO RIVERS, CITY OF1",4920-38,"Replace WM & LSLs on Roosevelt,Wilson,17th,26th,35th,Jackson","$1,440,000.00",NE,Hannes
142,"BALSAM LAKE, VILLAGE OF",5329-04,Well #1 Treatment for Maganese,"$4,500,000.00",NO,Cameron
142,"BALSAM LAKE, VILLAGE OF",5329-03,Well #3 Treatment for Maganese,"$4,500,000.00",NO,Cameron
139,"BIRCHWOOD, VILLAGE OF",5478-03,Construct STH 48 Loop from Maple Wellhouse to Orchard Ave,"$1,000,000.00",NO,Andruczyk
139,"CASSVILLE, VILLAGE OF",5469-06,Replace WM on Amelia St/ STH 133,"$4,690,000.00",SC,Zettl
138,"TWO RIVERS, CITY OF1",4920-45,Replace WMs & Laterals - East River Area,"$1,280,000.00",NE,Hannes
137,"KAUKAUNA, CITY OF1",5120-09,"Replace WMs on 6th,7th,8th,Whitney,Sullivan,Hendricks,Island","$2,393,000.00",NE,Hannes
